Date_reported,Country,WHO_region,Cumulative_cases,Population,Cases per Capita
2020-01-12,Portugal,EURO,0,10140570.0,0.5486779342778562
2020-01-12,Cook Islands,WPRO,0,17571.0,0.3990097319446816
2020-01-12,Ghana,AFRO,0,32395450.0,0.0052819763269224
2020-01-12,Libya,EMRO,0,7040745.0,0.0720324340677016
2020-01-12,Cabo Verde,AFRO,0,567678.0,0.1113818044736628
2020-01-12,Qatar,EMRO,0,2979915.0,0.1652845802648733
2020-01-12,Liberia,AFRO,0,5305117.0,0.0015196648820374
2020-01-12,Lesotho,AFRO,0,2175699.0,0.01599026335904
2020-01-12,Ukraine,EURO,0,43192122.0,0.1243312611498921
2020-01-12,Wallis and Futuna,WPRO,0,10982.0,0.3120560917865598
2020-01-12,Tokelau,WPRO,0,1378.0,0.0036284470246734
2020-01-12,Somalia,EMRO,0,16841795.0,0.0016220361309468
2020-01-12,Lebanon,EMRO,0,6684849.0,0.1837945778580787
2020-01-12,Cambodia,WPRO,0,17168639.0,0.008078275744513
2020-01-12,Greece,EURO,0,10316637.0,0.5533102502297987
2020-01-12,Bangladesh,SEARO,0,167885689.0,0.0121365675188669
2020-01-12,Romania,EURO,0,19031335.0,0.174712178625409
2020-01-12,Solomon Islands,WPRO,0,721159.0,0.0340770897957316
2020-01-12,Afghanistan,EMRO,0,40754388.0,0.0051171176954
2020-01-12,Latvia,EURO,0,1848837.0,0.5275505628673594
2020-01-12,Rwanda,AFRO,0,13600464.0,0.0097856955468578
2020-01-12,Kyrgyzstan,EURO,0,6728271.0,0.0307050652389001
2020-01-12,Congo,AFRO,0,5797805.0,0.0043766563380451
2020-01-12,Lithuania,EURO,0,2661708.0,0.487230379891408
2020-01-12,Timor-Leste,SEARO,0,1369429.0,0.0170983672757039
2020-01-12,Poland,EURO,0,37739785.0,0.1690583292936088
2020-01-12,Barbados,AMRO,0,288023.0,0.3685712599341025
2020-01-12,French Polynesia,WPRO,0,284164.0,0.2743380583043595
2020-01-12,Maldives,SEARO,0,540985.0,0.3432904794033106
2020-01-12,Dominican Republic,AMRO,0,11056370.0,0.0597026872291719
2020-01-12,Belarus,EURO,0,9432800.0,0.105380904927487
2020-01-12,Malaysia,WPRO,0,33181072.0,0.1517911476760003
2020-01-12,Spain,EURO,0,46719142.0,0.293915457608361
2020-01-12,Gabon,AFRO,0,2331533.0,0.0210080663666351
2020-01-12,Burkina Faso,AFRO,0,22102838.0,0.0009964783707865
